序号,操作类型,批次,记录表,记录ID,词库ID,词库名称,word_clean_id,修改前单词,修改后单词,原始中文释义,word_clean中文释义,删除前例句,删除前例句翻译,修复原因,处理结果,事务版本
120,修改原始单词拼写,03-人工同义核验,word,104729,49,CET4_2,11571,life,Life,生命；一生；寿命,生命；生活,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
121,修改原始单词拼写,03-人工同义核验,word,104947,49,CET4_2,12671,Mister,mister,先生,先生；平民；称…先生,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
122,修改原始单词拼写,03-人工同义核验,word,109746,54,BEC_3,16677,Rep,rep,代表,棱纹平布；雷普（物体伦琴当量）；代表（representative）；名声（reputation）,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
123,修改原始单词拼写,03-人工同义核验,word,115439,57,WaiYanSheChuZhong_6,22025,Westerner,westerner,西方人,西方人，欧美人；美国西部的人,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
124,修改原始单词拼写,03-人工同义核验,word,115440,57,WaiYanSheChuZhong_6,22023,West,west,西方（尤指西欧和北美）,西；西方；在西方的；朝西的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
125,修改原始单词拼写,03-人工同义核验,word,117346,58,CET6_2,1141,arctic,Arctic,北极的；北极,北极,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
126,修改原始单词拼写,03-人工同义核验,word,121107,62,PEPChuZhong8_2,22024,Western,western,在西部的；来自西部的；西方的，欧美的,西方的； 西部的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
127,修改原始单词拼写,03-人工同义核验,word,121402,63,PEPGaoZhong_3,5338,Diet,diet,日常饮食；节食,节食；饮食；节食,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
128,修改原始单词拼写,03-人工同义核验,word,121634,63,PEPGaoZhong_3,8977,Harbour,harbour,(harbor)海港,港口,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
129,修改原始单词拼写,03-人工同义核验,word,121764,64,TOEFL_2,17120,roman,Roman,"罗马(的),罗马人(的)",罗马人；古罗马语；罗马的；罗马人的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
130,修改原始单词拼写,03-人工同义核验,word,122059,64,TOEFL_2,11072,jupiter,Jupiter,木星,[天] 木星；朱庇特（罗马神话中的宙斯神）,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
131,修改原始单词拼写,03-人工同义核验,word,122184,64,TOEFL_2,6236,egyptian,Egyptian,埃及人(的),埃及的；埃及人的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
132,修改原始单词拼写,03-人工同义核验,word,122792,64,TOEFL_2,14980,pleistocene,Pleistocene,[地]更新世(的)(一段时期),更新世；更新世岩,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
133,修改原始单词拼写,03-人工同义核验,word,122810,64,TOEFL_2,9107,Health,health,健康,健康， 卫生,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
134,修改原始单词拼写,03-人工同义核验,word,122981,64,TOEFL_2,15833,pueblo,Pueblo,印第安人村庄,普韦布洛印第安人村落； 普韦布洛人,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
135,修改原始单词拼写,03-人工同义核验,word,123125,64,TOEFL_2,21555,venus,Venus,"维纳斯,金星",[天] 金星；维纳斯（爱与美的女神）,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
136,修改原始单词拼写,03-人工同义核验,word,123134,64,TOEFL_2,17479,scandinavian,Scandinavian,斯堪的纳维亚人[语],斯堪的纳维亚人；斯堪的纳维亚语；北欧日耳曼语系；斯堪的纳维亚的；斯堪的纳维亚人的；斯堪的纳维亚语的；北欧日耳曼语系的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
137,修改原始单词拼写,03-人工同义核验,word,124930,64,TOEFL_2,6119,easter,Easter,[宗](耶稣)复活节,复活节,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
138,修改原始单词拼写,03-人工同义核验,word,125564,64,TOEFL_2,17260,Sac,sac,"〈生〉囊,液囊",囊， 液囊,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
139,修改原始单词拼写,03-人工同义核验,word,125778,64,TOEFL_2,18676,Soviet,soviet,苏维埃(的),苏联的；苏维埃的；委员会的；苏维埃（代表会议）；委员会；代表会议,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
140,修改原始单词拼写,03-人工同义核验,word,125791,64,TOEFL_2,9990,Impressionism,impressionism,"印象派, 印象主义",印象主义；印象派,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
141,修改原始单词拼写,03-人工同义核验,word,126642,64,TOEFL_2,8840,Gypsy,gypsy,"吉普赛人(的),吉普赛语（的）",吉普赛人,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
142,修改原始单词拼写,03-人工同义核验,word,126890,64,TOEFL_2,3015,celsius,Celsius,摄氏的,(温度)摄氏的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
143,修改原始单词拼写,03-人工同义核验,word,128165,64,TOEFL_2,12519,Militant,militant,好战的n好斗者,好战的；富有战斗性的人；好斗者；激进分子,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
144,修改原始单词拼写,03-人工同义核验,word,128568,64,TOEFL_2,10890,Isle,isle,( 小)岛,岛；使成为岛屿；住在岛屿上,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
145,修改原始单词拼写,03-人工同义核验,word,128685,64,TOEFL_2,15902,puritan,Puritan,清教徒 a清教徒的,清教徒的；清教徒,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
146,修改原始单词拼写,03-人工同义核验,word,128769,64,TOEFL_2,21411,Utopian,utopian,乌托邦式的，梦想的,乌托邦的， 理想化的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
147,修改原始单词拼写,03-人工同义核验,word,129118,64,TOEFL_2,3283,christian,Christian,"/a基督徒,基督教的",基督教徒的；基督教徒,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
148,修改原始单词拼写,03-人工同义核验,word,129290,64,TOEFL_2,10671,internet,Internet,国际互联网，因特网,因特网,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
149,修改原始单词拼写,03-人工同义核验,word,129598,64,TOEFL_2,1141,arctic,Arctic,北极的 n北极(圈),北极,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
150,修改原始单词拼写,03-人工同义核验,word,130008,64,TOEFL_2,10700,Interstate,interstate,州际的,州际的；州与州之间的；（美）州际公路,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
151,修改原始单词拼写,03-人工同义核验,word,130740,64,TOEFL_2,17849,september,September,九月(略作Sep),九月,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
152,修改原始单词拼写,03-人工同义核验,word,130885,64,TOEFL_2,15962,quaker,Quaker,"教友派信徒, 贵格会会员",教友派信徒；贵格会教徒,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
153,修改原始单词拼写,03-人工同义核验,word,132031,65,ChuZhong_2,18653,soup,Soup,汤，羹；马力；加速；增加马力,汤,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
154,修改原始单词拼写,03-人工同义核验,word,132264,65,ChuZhong_2,22040,Wheel,wheel,车轮；方向盘；转动；转动；使变换方向；给…装轮子,轮， 车轮； 方向盘,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
155,修改原始单词拼写,03-人工同义核验,word,133129,68,PEPXiaoXue5_1,4805,Dear,dear,亲爱的,亲爱的；尊敬的；昂贵的；高价地；疼爱地；哎呀；亲爱的人,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
156,修改原始单词拼写,03-人工同义核验,word,134343,70,PEPChuZhong9_1,19593,Survey,survey,调查,调查；测量；审视；纵览；调查；勘测；俯瞰,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
157,修改原始单词拼写,03-人工同义核验,word,136593,71,GMAT_2,15735,protestant,Protestant,抗议的；持异议的；新教的；抗议者；持异议者；新教徒,新教的；新教徒的；新教；新教徒,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
158,修改原始单词拼写,03-人工同义核验,word,137854,72,PEPGaoZhong_4,13014,Muslim,muslim,穆斯林（的）；伊斯兰教信徒（的）,穆斯林；穆罕默德信徒；伊斯兰教的,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
159,修改原始单词拼写,03-人工同义核验,word,138867,73,IELTS_2,1141,arctic,Arctic,北极的；北极,北极,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
160,修改原始单词拼写,03-人工同义核验,word,146992,76,GMAT_3,15735,protestant,Protestant,新教； 新教的,新教的；新教徒的；新教；新教徒,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
161,修改原始单词拼写,03-人工同义核验,word,148458,77,PEPChuZhong7_1,12750,mom,Mom,(mum)妈妈,妈妈,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
162,修改原始单词拼写,03-人工同义核验,word,148729,77,PEPChuZhong7_1,692,A.M.,a.m.,(a.m.)上午,上午,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
163,修改原始单词拼写,03-人工同义核验,word,148730,77,PEPChuZhong7_1,15029,P.M.,p.m.,(p.m.) 下午；午后,下午,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
164,修改原始单词拼写,03-人工同义核验,word,152066,78,IELTSluan_2,1141,arctic,Arctic,北极的；北极,北极,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
165,修改原始单词拼写,03-人工同义核验,word,152590,80,PEPGaoZhong_9,3726,Commonwealth,commonwealth,联邦,联邦；共和国；国民整体,,,原释义与 word_clean 语义一致，且修正后无同词库冲突,已修改并验证,10254615
166,删除错误最佳例句,04-删除错误最佳例句,word_clean_best_sentence,11366,,,12448,Metro,,,麦德龙,I prefer to take the Metro to work because it avoids traffic jams.,我喜欢乘地铁上班，因为这样可以避开交通堵塞。,word_clean 释义为“麦德龙”，删除前例句表达“地铁”,已删除；word_clean 与5条候选句保留，等待重新造句,
167,删除错误最佳例句,04-删除错误最佳例句,word_clean_best_sentence,15927,,,17033,right,,,直的,Always remember to check your answers to make sure they are right.,请始终检查你的答案以确保它们是正确的。,word_clean 释义为“直的”，删除前例句表达“正确的”,已删除；word_clean 与5条候选句保留，等待重新造句,
168,删除错误最佳例句,04-删除错误最佳例句,word_clean_best_sentence,18948,,,20061,thanksgiving,,,感恩,We celebrate Thanksgiving with a big family dinner.,我们以丰盛的家庭晚餐来庆祝感恩节。,word_clean 释义为“感恩”，删除前例句表达“感恩节”,已删除；word_clean 与5条候选句保留，等待重新造句,
